Source,Target
447,100774
1628,19400
1764,111667
447,10667
1629,36705
1628,43537
5241,21067
27484,83934
17884,27484
447,32181
5241,9778
1628,17887
17887,43537
1629,1764
10995,100774
36554,42859
1628,100774
7388,43537
1628,36705
19400,82474
7388,82078
10667,117847
1629,12169
5241,32181
1628,82078
5241,9896
1628,74437
10995,74437
9896,27484
447,12169
447,27484
447,117847
1628,117847
1628,111667
1629,36554
1628,1764
32181,100774
10995,32181
1629,17887
5241,36705
19400,43537
10667,27484
1628,42859
27484,36554
1628,36554
447,82078
5360,9896
1764,5241
1628,10667
447,17884
5241,27484
27484,74437
1764,12169
17884,82474
27484,82078
447,43537
7388,19400
447,7388
5241,10995
17887,36705
10995,17884
1629,10667
19400,82078
1764,82474
17884,17887
1628,27484
447,1628
1628,7388
447,74437
447,9896
82078,100774
1764,5360
1628,1629
1764,9896
447,1629
1629,7388
5241,82078
7388,74437
7388,10995
447,10995
9896,82078
7388,100774
1764,82078
1628,5360
1764,19400
447,1764
1628,32181
1628,10995
1629,42859
17884,82078
447,19400
36554,72000
447,5360
447,82474
1628,12169
447,36705
447,5241
447,17887
1764,117847
42859,82078
1629,5360
17884,19400
5360,111667
17887,19400
447,72000
1629,82078
1764,32181
1764,21067
1628,5241
1629,17884
447,36554
1764,9778
10995,82078
5360,10667
447,9778
1628,9896
5241,12169
5241,42859
5241,36554
1629,10995
9896,21067
17884,42859
1628,17884
9896,10667
17884,36705
9896,83934
447,42859
17884,74437
1764,36705
1764,10667
19400,36705
1629,27484
