Id,Name,Label
32181,Haixun Wang,DM&DB
12169,Ming-Hsuan Yang,CV
72000,Micheline Kamber,DM
74437,Jing Gao,DM
43537,Xiang Ren,DM&Sys
117847,Jiebo Luo,CV&DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
82474,Chao Zhang,CV&DM&NLP&ML&Sys
36554,Jian Pei,DM&NLP
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
19400,Zheng Chen,DM&NLP&ML
5360,Dong Xu,CV&DB
9896,Gang Wang,CV&NLP&ML&DM
1629,Philip S. Yu,DM&DB&CV
7388,ChengXiang Zhai,DM
42859,Xifeng Yan,DM&DB
447,Qiang Yang,DM&DB
10995,Jie Tang,DM
27484,Jiawei Han,DM&DB
10667,Thomas S. Huang,CV
17887,Heng Ji,NLP
1764,Dacheng Tao,CV
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
82078,Yi-Zhou Sun,DM
111667,Jiwen Lu,CV
9778,Shuicheng Yan,CV
83934,Hujun Bao,CV&DB&DM
1628,Charu C. Aggarwal,DM
100774,Hong Cheng,CV&ML&DM
36705,Chi Wang,DM&CV
