Id,Name,Label
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
100774,Hong Cheng,CV&ML&DM
8936,Tarek Abdelzaher,DM
82078,Yi-Zhou Sun,DM
1764,Dacheng Tao,CV
83934,Hujun Bao,CV&DB&DM
9896,Gang Wang,CV&NLP&ML&DM
43537,Xiang Ren,DM&Sys
9778,Shuicheng Yan,CV
74437,Jing Gao,DM
27484,Jiawei Han,DM&DB
75832,Ben Y. Zhao,Sys
17887,Heng Ji,NLP
1629,Philip S. Yu,DM&DB&CV
10667,Thomas S. Huang,CV
28033,Lance M. Kaplan,DM
7388,ChengXiang Zhai,DM
1628,Charu C. Aggarwal,DM
36705,Chi Wang,DM&CV
447,Qiang Yang,DM&DB
75833,Haitao Zheng,Sys
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
8219,Fei Wang,CV&DB&DM&ML&Sys
36554,Jian Pei,DM&NLP
42859,Xifeng Yan,DM&DB
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
82474,Chao Zhang,CV&DM&NLP&ML&Sys
10995,Jie Tang,DM
32181,Haixun Wang,DM&DB
19400,Zheng Chen,DM&NLP&ML
