Id,Name,Label
9778,Shuicheng Yan,CV
82078,Yi-Zhou Sun,DM
36705,Chi Wang,DM&CV
19400,Zheng Chen,DM&NLP&ML
447,Qiang Yang,DM&DB
1629,Philip S. Yu,DM&DB&CV
25330,Wei Zhang,CV&DB&DM&NLP&ML&Sys
12169,Ming-Hsuan Yang,CV
27484,Jiawei Han,DM&DB
27421,Dong Wang,CV&DB&DM&NLP&ML
42859,Xifeng Yan,DM&DB
32181,Haixun Wang,DM&DB
9896,Gang Wang,CV&NLP&ML&DM
43537,Xiang Ren,DM&Sys
7388,ChengXiang Zhai,DM
10995,Jie Tang,DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
17887,Heng Ji,NLP
1628,Charu C. Aggarwal,DM
10667,Thomas S. Huang,CV
82474,Chao Zhang,CV&DM&NLP&ML&Sys
83934,Hujun Bao,CV&DB&DM
100774,Hong Cheng,CV&ML&DM
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
1764,Dacheng Tao,CV
8936,Tarek Abdelzaher,DM
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
36554,Jian Pei,DM&NLP
43644,Bolin Ding,DM&DB&ML
25006,Jeffrey Xu Yu,DB
