Source,Target
447,9778
7388,43537
19400,50890
1764,12169
7388,10995
447,1764
9896,27484
1628,25330
1764,10667
5241,9778
9778,50890
1629,36554
1628,82078
447,17884
10995,16991
1629,82078
1764,37425
1764,9778
447,42859
5241,36554
19400,82474
17884,19400
447,82078
9896,12169
16991,19400
1629,7388
9896,27421
1764,21067
1629,42859
447,27421
447,27484
1764,5241
1629,17887
447,9896
1764,9896
447,43537
1628,1629
1628,12169
16991,82474
16991,36554
9778,28033
447,1629
16991,43537
16991,50890
17884,27484
1628,7388
16991,28033
17887,28033
1764,19400
1628,36554
9896,83934
1629,10667
5241,10995
19400,36705
447,21067
1764,82078
1628,17887
447,7388
10995,82078
447,12169
5241,36705
5241,42859
1629,10995
447,28033
17887,43537
447,36554
447,10667
447,16991
1628,10667
16991,17887
1764,27421
16991,27484
9896,82078
27484,83934
17884,17887
27484,82078
10667,27484
1628,9896
447,5241
5241,82078
19400,37425
7388,19400
7388,100774
447,17887
1628,50890
9778,17887
447,100774
447,19400
447,82474
1628,37425
9778,27484
19400,82078
82078,100774
1629,17884
1629,27484
1628,16991
16991,37425
7388,17884
1629,1764
5241,27484
5241,16991
1764,82474
7388,16991
19400,43537
16991,36705
1628,17884
1764,16991
16991,42859
16991,82078
9778,43537
1628,28033
1629,36705
1628,5241
17884,36705
1628,82474
447,25330
1628,100774
1628,19400
1628,42859
9778,25330
16991,17884
447,1628
7388,28033
5241,27421
5241,9896
17887,19400
1628,10995
10995,100774
5241,12169
19400,28033
27484,36554
28033,36705
1628,1764
1628,27484
447,37425
9778,37425
447,10995
1629,12169
1628,43537
5241,21067
1628,36705
447,36705
9896,21067
9778,10667
